,NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
4980,2021,1261,14,5,10028,4006,1,4318705,43,4
4981,2021,1261,14,5,10028,4006,1,4318705,43,4
4982,2021,1261,14,5,10028,4006,1,4318705,43,4
4983,2021,1261,14,5,10028,4006,1,4318705,43,4
4984,2021,1261,14,5,10028,4006,1,4318705,43,4
4985,2021,1261,14,5,10028,4006,1,4318705,43,4
4986,2021,1261,14,5,10028,4006,1,4318705,43,4
4987,2021,1261,14,5,10028,4006,1,4318705,43,4
4988,2021,1261,14,5,10028,4006,1,4318705,43,4
4989,2021,1261,14,5,10028,4006,1,4318705,43,4
4990,2021,1261,14,5,10028,4006,1,4318705,43,4
4991,2021,1261,14,5,10028,4006,1,4318705,43,4
4992,2021,1261,14,5,10028,4006,1,4318705,43,4
4993,2021,1261,14,5,10028,4006,1,4318705,43,4
4994,2021,1261,14,5,10028,4006,1,4318705,43,4
4995,2021,1261,14,5,10028,4006,1,4318705,43,4
4996,2021,1261,14,5,10028,4006,1,4318705,43,4
4997,2021,1261,14,5,10028,4006,1,4318705,43,4
4998,2021,1261,14,5,10028,4006,1,4318705,43,4
4999,2021,1261,14,5,10028,4006,1,4318705,43,4
5000,2021,1261,14,5,10028,4006,1,4318705,43,4
5001,2021,1261,14,5,10028,4006,1,4318705,43,4
5002,2021,1261,14,5,10028,4006,1,4318705,43,4
5003,2021,1261,14,5,10028,4006,1,4318705,43,4
5004,2021,1261,14,5,10028,4006,1,4318705,43,4
5005,2021,1261,14,5,10028,4006,1,4318705,43,4
5006,2021,1261,14,5,10028,4006,1,4318705,43,4
5007,2021,1261,14,5,10028,4006,1,4318705,43,4
5008,2021,1261,14,5,10028,4006,1,4318705,43,4
10604,2021,3193,56,2,10028,4006,1,3506003,35,3
10605,2021,3193,56,2,10028,4006,1,3506003,35,3
10606,2021,3193,56,2,10028,4006,1,3506003,35,3
10607,2021,3193,56,2,10028,4006,1,3506003,35,3
10608,2021,3193,56,2,10028,4006,1,3506003,35,3
10609,2021,3193,56,2,10028,4006,1,3506003,35,3
10610,2021,3193,56,2,10028,4006,1,3506003,35,3
10611,2021,3193,56,2,10028,4006,1,3506003,35,3
10612,2021,3193,56,2,10028,4006,1,3506003,35,3
10613,2021,3193,56,2,10028,4006,1,3506003,35,3
10614,2021,3193,56,2,10028,4006,1,3506003,35,3
10615,2021,3193,56,2,10028,4006,1,3506003,35,3
10616,2021,3193,56,2,10028,4006,1,3506003,35,3
10617,2021,3193,56,2,10028,4006,1,3506003,35,3
10618,2021,3193,56,2,10028,4006,1,3506003,35,3
10619,2021,3193,56,2,10028,4006,1,3506003,35,3
10620,2021,3193,56,2,10028,4006,1,3506003,35,3
10621,2021,3193,56,2,10028,4006,1,3506003,35,3
10622,2021,3193,56,2,10028,4006,1,3506003,35,3
10623,2021,3193,56,2,10028,4006,1,3506003,35,3
10624,2021,3193,56,2,10028,4006,1,3506003,35,3
10625,2021,3193,56,2,10028,4006,1,3506003,35,3
10626,2021,3193,56,2,10028,4006,1,3506003,35,3
10627,2021,3193,56,2,10028,4006,1,3506003,35,3
10628,2021,3193,56,2,10028,4006,1,3506003,35,3
10629,2021,3193,56,2,10028,4006,1,3506003,35,3
10630,2021,3193,56,2,10028,4006,1,3506003,35,3
10631,2021,3193,56,2,10028,4006,1,3506003,35,3
10632,2021,3193,56,2,10028,4006,1,3506003,35,3
10633,2021,3193,56,2,10028,4006,1,3506003,35,3
10634,2021,3193,56,2,10028,4006,1,3506003,35,3
10635,2021,3193,56,2,10028,4006,1,3506003,35,3
10636,2021,3193,56,2,10028,4006,1,3506003,35,3
10637,2021,3193,56,2,10028,4006,1,3506003,35,3
10638,2021,3193,56,2,10028,4006,1,3506003,35,3
10639,2021,3193,56,2,10028,4006,1,3506003,35,3
10640,2021,3193,56,2,10028,4006,1,3506003,35,3
10641,2021,3193,56,2,10028,4006,1,3506003,35,3
10642,2021,3193,56,2,10028,4006,1,3506003,35,3
10643,2021,3193,56,2,10028,4006,1,3506003,35,3
10644,2021,3193,56,2,10028,4006,1,3506003,35,3
10645,2021,3193,56,2,10028,4006,1,3506003,35,3
10646,2021,3193,56,2,10028,4006,1,3506003,35,3
13686,2021,4963,163,4,10028,4006,1,3303302,33,3
13687,2021,4963,163,4,10028,4006,1,3303302,33,3
13688,2021,4963,163,4,10028,4006,1,3303302,33,3
13689,2021,4963,163,4,10028,4006,1,3303302,33,3
13690,2021,4963,163,4,10028,4006,1,3303302,33,3
13691,2021,4963,163,4,10028,4006,1,3303302,33,3
13692,2021,4963,163,4,10028,4006,1,3303302,33,3
13693,2021,4963,163,4,10028,4006,1,3303302,33,3
13694,2021,4963,163,4,10028,4006,1,3303302,33,3
13695,2021,4963,163,4,10028,4006,1,3303302,33,3
13696,2021,4963,163,4,10028,4006,1,3303302,33,3
13697,2021,4963,163,4,10028,4006,1,3303302,33,3
13698,2021,4963,163,4,10028,4006,1,3303302,33,3
13699,2021,4963,163,4,10028,4006,1,3303302,33,3
13700,2021,4963,163,4,10028,4006,1,3303302,33,3
13701,2021,4963,163,4,10028,4006,1,3303302,33,3
13702,2021,4963,163,4,10028,4006,1,3303302,33,3
13703,2021,4963,163,4,10028,4006,1,3303302,33,3
13704,2021,4963,163,4,10028,4006,1,3303302,33,3
13705,2021,4963,163,4,10028,4006,1,3303302,33,3
13706,2021,4963,163,4,10028,4006,1,3303302,33,3
13707,2021,4963,163,4,10028,4006,1,3303302,33,3
13708,2021,4963,163,4,10028,4006,1,3303302,33,3
13709,2021,4963,163,4,10028,4006,1,3303302,33,3
13710,2021,4963,163,4,10028,4006,1,3303302,33,3
13711,2021,4963,163,4,10028,4006,1,3303302,33,3
13712,2021,4963,163,4,10028,4006,1,3303302,33,3
13713,2021,4963,163,4,10028,4006,1,3303302,33,3
13714,2021,4963,163,4,10028,4006,1,3303302,33,3
13715,2021,4963,163,4,10028,4006,1,3303302,33,3
13716,2021,4963,163,4,10028,4006,1,3303302,33,3
13717,2021,4963,163,4,10028,4006,1,3303302,33,3
14045,2021,5238,176,5,10028,4006,1,3304557,33,3
14046,2021,5238,176,5,10028,4006,1,3304557,33,3
14047,2021,5238,176,5,10028,4006,1,3304557,33,3
14048,2021,5238,176,5,10028,4006,1,3304557,33,3
14049,2021,5238,176,5,10028,4006,1,3304557,33,3
14050,2021,5238,176,5,10028,4006,1,3304557,33,3
14051,2021,5238,176,5,10028,4006,1,3304557,33,3
14052,2021,5238,176,5,10028,4006,1,3304557,33,3
14053,2021,5238,176,5,10028,4006,1,3304557,33,3
14054,2021,5238,176,5,10028,4006,1,3304557,33,3
15608,2021,6847,296,5,10020,4006,1,4301602,43,4
15609,2021,6847,296,5,10020,4006,1,4301602,43,4
15610,2021,6847,296,5,10020,4006,1,4301602,43,4
15611,2021,6847,296,5,10020,4006,1,4301602,43,4
15612,2021,6847,296,5,10020,4006,1,4301602,43,4
15613,2021,6847,296,5,10020,4006,1,4301602,43,4
15614,2021,6847,296,5,10020,4006,1,4301602,43,4
16020,2021,7301,322,4,10028,4006,1,3509502,35,3
16021,2021,7301,322,4,10028,4006,1,3509502,35,3
16022,2021,7301,322,4,10028,4006,1,3509502,35,3
16023,2021,7301,322,4,10028,4006,1,3509502,35,3
16024,2021,7301,322,4,10028,4006,1,3509502,35,3
16025,2021,7301,322,4,10028,4006,1,3509502,35,3
16026,2021,7301,322,4,10028,4006,1,3509502,35,3
16027,2021,7301,322,4,10028,4006,1,3509502,35,3
