,NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
7989,2017,1261,14,5,10028,4006,1,4318705,43,4
7990,2017,1261,14,5,10028,4006,1,4318705,43,4
7991,2017,1261,14,5,10028,4006,1,4318705,43,4
7992,2017,1261,14,5,10028,4006,1,4318705,43,4
7993,2017,1261,14,5,10028,4006,1,4318705,43,4
7994,2017,1261,14,5,10028,4006,1,4318705,43,4
7995,2017,1261,14,5,10028,4006,1,4318705,43,4
7996,2017,1261,14,5,10028,4006,1,4318705,43,4
7997,2017,1261,14,5,10028,4006,1,4318705,43,4
7998,2017,1261,14,5,10028,4006,1,4318705,43,4
7999,2017,1261,14,5,10028,4006,1,4318705,43,4
8000,2017,1261,14,5,10028,4006,1,4318705,43,4
8001,2017,1261,14,5,10028,4006,1,4318705,43,4
8002,2017,1261,14,5,10028,4006,1,4318705,43,4
8003,2017,1261,14,5,10028,4006,1,4318705,43,4
8004,2017,1261,14,5,10028,4006,1,4318705,43,4
8005,2017,1261,14,5,10028,4006,1,4318705,43,4
8006,2017,1261,14,5,10028,4006,1,4318705,43,4
8007,2017,1261,14,5,10028,4006,1,4318705,43,4
8008,2017,1261,14,5,10028,4006,1,4318705,43,4
8009,2017,1261,14,5,10028,4006,1,4318705,43,4
8010,2017,1261,14,5,10028,4006,1,4318705,43,4
8011,2017,1261,14,5,10028,4006,1,4318705,43,4
8012,2017,1261,14,5,10028,4006,1,4318705,43,4
8013,2017,1261,14,5,10028,4006,1,4318705,43,4
8014,2017,1261,14,5,10028,4006,1,4318705,43,4
8015,2017,1261,14,5,10028,4006,1,4318705,43,4
8016,2017,1261,14,5,10028,4006,1,4318705,43,4
8017,2017,1261,14,5,10028,4006,1,4318705,43,4
8018,2017,1261,14,5,10028,4006,1,4318705,43,4
8019,2017,1261,14,5,10028,4006,1,4318705,43,4
8020,2017,1261,14,5,10028,4006,1,4318705,43,4
8021,2017,1261,14,5,10028,4006,1,4318705,43,4
8022,2017,1261,14,5,10028,4006,1,4318705,43,4
8023,2017,1261,14,5,10028,4006,1,4318705,43,4
8024,2017,1261,14,5,10028,4006,1,4318705,43,4
8025,2017,1261,14,5,10028,4006,1,4318705,43,4
8026,2017,1261,14,5,10028,4006,1,4318705,43,4
8027,2017,1261,14,5,10028,4006,1,4318705,43,4
8028,2017,1261,14,5,10028,4006,1,4318705,43,4
8029,2017,1261,14,5,10028,4006,1,4318705,43,4
8030,2017,1261,14,5,10028,4006,1,4318705,43,4
8031,2017,1261,14,5,10028,4006,1,4318705,43,4
8032,2017,1261,14,5,10028,4006,1,4318705,43,4
8033,2017,1261,14,5,10028,4006,1,4318705,43,4
8034,2017,1261,14,5,10028,4006,1,4318705,43,4
18348,2017,3193,56,2,10028,4006,1,3506003,35,3
18349,2017,3193,56,2,10028,4006,1,3506003,35,3
18350,2017,3193,56,2,10028,4006,1,3506003,35,3
18351,2017,3193,56,2,10028,4006,1,3506003,35,3
18352,2017,3193,56,2,10028,4006,1,3506003,35,3
18353,2017,3193,56,2,10028,4006,1,3506003,35,3
18354,2017,3193,56,2,10028,4006,1,3506003,35,3
18355,2017,3193,56,2,10028,4006,1,3506003,35,3
18356,2017,3193,56,2,10028,4006,1,3506003,35,3
18357,2017,3193,56,2,10028,4006,1,3506003,35,3
18358,2017,3193,56,2,10028,4006,1,3506003,35,3
18359,2017,3193,56,2,10028,4006,1,3506003,35,3
18360,2017,3193,56,2,10028,4006,1,3506003,35,3
18361,2017,3193,56,2,10028,4006,1,3506003,35,3
18362,2017,3193,56,2,10028,4006,1,3506003,35,3
18363,2017,3193,56,2,10028,4006,1,3506003,35,3
18364,2017,3193,56,2,10028,4006,1,3506003,35,3
18365,2017,3193,56,2,10028,4006,1,3506003,35,3
18366,2017,3193,56,2,10028,4006,1,3506003,35,3
18367,2017,3193,56,2,10028,4006,1,3506003,35,3
18368,2017,3193,56,2,10028,4006,1,3506003,35,3
18369,2017,3193,56,2,10028,4006,1,3506003,35,3
18370,2017,3193,56,2,10028,4006,1,3506003,35,3
18371,2017,3193,56,2,10028,4006,1,3506003,35,3
18372,2017,3193,56,2,10028,4006,1,3506003,35,3
18373,2017,3193,56,2,10028,4006,1,3506003,35,3
18374,2017,3193,56,2,10028,4006,1,3506003,35,3
18375,2017,3193,56,2,10028,4006,1,3506003,35,3
18376,2017,3193,56,2,10028,4006,1,3506003,35,3
18377,2017,3193,56,2,10028,4006,1,3506003,35,3
18378,2017,3193,56,2,10028,4006,1,3506003,35,3
18379,2017,3193,56,2,10028,4006,1,3506003,35,3
18380,2017,3193,56,2,10028,4006,1,3506003,35,3
18381,2017,3193,56,2,10028,4006,1,3506003,35,3
18382,2017,3193,56,2,10028,4006,1,3506003,35,3
18383,2017,3193,56,2,10028,4006,1,3506003,35,3
18384,2017,3193,56,2,10028,4006,1,3506003,35,3
18385,2017,3193,56,2,10028,4006,1,3506003,35,3
18386,2017,3193,56,2,10028,4006,1,3506003,35,3
18387,2017,3193,56,2,10028,4006,1,3506003,35,3
18388,2017,3193,56,2,10028,4006,1,3506003,35,3
18389,2017,3193,56,2,10028,4006,1,3506003,35,3
18390,2017,3193,56,2,10028,4006,1,3506003,35,3
18391,2017,3193,56,2,10028,4006,1,3506003,35,3
18392,2017,3193,56,2,10028,4006,1,3506003,35,3
25036,2017,4963,163,4,10028,4006,1,3303302,33,3
25037,2017,4963,163,4,10028,4006,1,3303302,33,3
25038,2017,4963,163,4,10028,4006,1,3303302,33,3
25039,2017,4963,163,4,10028,4006,1,3303302,33,3
25040,2017,4963,163,4,10028,4006,1,3303302,33,3
25041,2017,4963,163,4,10028,4006,1,3303302,33,3
25042,2017,4963,163,4,10028,4006,1,3303302,33,3
25043,2017,4963,163,4,10028,4006,1,3303302,33,3
25044,2017,4963,163,4,10028,4006,1,3303302,33,3
25045,2017,4963,163,4,10028,4006,1,3303302,33,3
25046,2017,4963,163,4,10028,4006,1,3303302,33,3
25047,2017,4963,163,4,10028,4006,1,3303302,33,3
25048,2017,4963,163,4,10028,4006,1,3303302,33,3
25049,2017,4963,163,4,10028,4006,1,3303302,33,3
25050,2017,4963,163,4,10028,4006,1,3303302,33,3
25051,2017,4963,163,4,10028,4006,1,3303302,33,3
25052,2017,4963,163,4,10028,4006,1,3303302,33,3
25053,2017,4963,163,4,10028,4006,1,3303302,33,3
25054,2017,4963,163,4,10028,4006,1,3303302,33,3
25055,2017,4963,163,4,10028,4006,1,3303302,33,3
25056,2017,4963,163,4,10028,4006,1,3303302,33,3
25057,2017,4963,163,4,10028,4006,1,3303302,33,3
25058,2017,4963,163,4,10028,4006,1,3303302,33,3
25059,2017,4963,163,4,10028,4006,1,3303302,33,3
25060,2017,4963,163,4,10028,4006,1,3303302,33,3
25061,2017,4963,163,4,10028,4006,1,3303302,33,3
25062,2017,4963,163,4,10028,4006,1,3303302,33,3
25063,2017,4963,163,4,10028,4006,1,3303302,33,3
25064,2017,4963,163,4,10028,4006,1,3303302,33,3
25065,2017,4963,163,4,10028,4006,1,3303302,33,3
25066,2017,4963,163,4,10028,4006,1,3303302,33,3
25067,2017,4963,163,4,10028,4006,1,3303302,33,3
25068,2017,4963,163,4,10028,4006,1,3303302,33,3
25069,2017,4963,163,4,10028,4006,1,3303302,33,3
25070,2017,4963,163,4,10028,4006,1,3303302,33,3
25071,2017,4963,163,4,10028,4006,1,3303302,33,3
25072,2017,4963,163,4,10028,4006,1,3303302,33,3
25073,2017,4963,163,4,10028,4006,1,3303302,33,3
25074,2017,4963,163,4,10028,4006,1,3303302,33,3
25075,2017,4963,163,4,10028,4006,1,3303302,33,3
25076,2017,4963,163,4,10028,4006,1,3303302,33,3
25077,2017,4963,163,4,10028,4006,1,3303302,33,3
25078,2017,4963,163,4,10028,4006,1,3303302,33,3
25079,2017,4963,163,4,10028,4006,1,3303302,33,3
25080,2017,4963,163,4,10028,4006,1,3303302,33,3
25081,2017,4963,163,4,10028,4006,1,3303302,33,3
25082,2017,4963,163,4,10028,4006,1,3303302,33,3
25083,2017,4963,163,4,10028,4006,1,3303302,33,3
25084,2017,4963,163,4,10028,4006,1,3303302,33,3
25085,2017,4963,163,4,10028,4006,1,3303302,33,3
25086,2017,4963,163,4,10028,4006,1,3303302,33,3
25087,2017,4963,163,4,10028,4006,1,3303302,33,3
25088,2017,4963,163,4,10028,4006,1,3303302,33,3
25089,2017,4963,163,4,10028,4006,1,3303302,33,3
25090,2017,4963,163,4,10028,4006,1,3303302,33,3
25091,2017,4963,163,4,10028,4006,1,3303302,33,3
26294,2017,5238,176,5,10028,4006,1,3304557,33,3
26295,2017,5238,176,5,10028,4006,1,3304557,33,3
26296,2017,5238,176,5,10028,4006,1,3304557,33,3
26297,2017,5238,176,5,10028,4006,1,3304557,33,3
26298,2017,5238,176,5,10028,4006,1,3304557,33,3
26299,2017,5238,176,5,10028,4006,1,3304557,33,3
26300,2017,5238,176,5,10028,4006,1,3304557,33,3
26301,2017,5238,176,5,10028,4006,1,3304557,33,3
26302,2017,5238,176,5,10028,4006,1,3304557,33,3
26303,2017,5238,176,5,10028,4006,1,3304557,33,3
