,NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
49765,2017,11554,549,1,10028,4006,1,1200401,12,1
49766,2017,11554,549,1,10028,4006,1,1200401,12,1
49767,2017,11554,549,1,10028,4006,1,1200401,12,1
49768,2017,11554,549,1,10028,4006,1,1200401,12,1
49769,2017,11554,549,1,10028,4006,1,1200401,12,1
49770,2017,11554,549,1,10028,4006,1,1200401,12,1
49771,2017,11554,549,1,10028,4006,1,1200401,12,1
49772,2017,11554,549,1,10028,4006,1,1200401,12,1
49773,2017,11554,549,1,10028,4006,1,1200401,12,1
49774,2017,11554,549,1,10028,4006,1,1200401,12,1
49775,2017,11554,549,1,10028,4006,1,1200401,12,1
49776,2017,11554,549,1,10028,4006,1,1200401,12,1
49777,2017,11554,549,1,10028,4006,1,1200401,12,1
49778,2017,11554,549,1,10028,4006,1,1200401,12,1
49779,2017,11554,549,1,10028,4006,1,1200401,12,1
49780,2017,11554,549,1,10028,4006,1,1200401,12,1
49781,2017,11554,549,1,10028,4006,1,1200401,12,1
49782,2017,11554,549,1,10028,4006,1,1200401,12,1
49783,2017,11554,549,1,10028,4006,1,1200401,12,1
49784,2017,11554,549,1,10028,4006,1,1200401,12,1
49785,2017,11554,549,1,10028,4006,1,1200401,12,1
49786,2017,11554,549,1,10028,4006,1,1200401,12,1
49787,2017,11554,549,1,10028,4006,1,1200401,12,1
49788,2017,11554,549,1,10028,4006,1,1200401,12,1
96722,2017,18384,4504,1,10028,4006,1,5003702,50,5
96723,2017,18384,4504,1,10028,4006,1,5003702,50,5
96724,2017,18384,4504,1,10028,4006,1,5003702,50,5
96725,2017,18384,4504,1,10028,4006,1,5003702,50,5
96726,2017,18384,4504,1,10028,4006,1,5003702,50,5
96727,2017,18384,4504,1,10028,4006,1,5003702,50,5
96728,2017,18384,4504,1,10028,4006,1,5003702,50,5
96729,2017,18384,4504,1,10028,4006,1,5003702,50,5
96730,2017,18384,4504,1,10028,4006,1,5003702,50,5
96731,2017,18384,4504,1,10028,4006,1,5003702,50,5
96732,2017,18384,4504,1,10028,4006,1,5003702,50,5
96733,2017,18384,4504,1,10028,4006,1,5003702,50,5
96734,2017,18384,4504,1,10028,4006,1,5003702,50,5
96735,2017,18384,4504,1,10028,4006,1,5003702,50,5
96736,2017,18384,4504,1,10028,4006,1,5003702,50,5
96737,2017,18384,4504,1,10028,4006,1,5003702,50,5
96738,2017,18387,694,1,10028,4006,1,5002704,50,5
