,NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
77775,2021,49071,1075,4,10020,4006,1,2507507,25,2
77776,2021,49071,1075,4,10020,4006,1,2507507,25,2
77777,2021,49071,1075,4,10020,4006,1,2507507,25,2
77778,2021,49071,1075,4,10020,4006,1,2507507,25,2
77779,2021,49071,1075,4,10020,4006,1,2507507,25,2
77780,2021,49071,1075,4,10020,4006,1,2507507,25,2
77781,2021,49071,1075,4,10020,4006,1,2507507,25,2
77782,2021,49071,1075,4,10020,4006,1,2507507,25,2
77783,2021,49071,1075,4,10020,4006,1,2507507,25,2
77784,2021,49071,1075,4,10020,4006,1,2507507,25,2
77785,2021,49071,1075,4,10020,4006,1,2507507,25,2
77786,2021,49071,1075,4,10020,4006,1,2507507,25,2
77787,2021,49071,1075,4,10020,4006,1,2507507,25,2
77788,2021,49071,1075,4,10020,4006,1,2507507,25,2
77789,2021,49071,1075,4,10020,4006,1,2507507,25,2
77790,2021,49071,1075,4,10020,4006,1,2507507,25,2
77791,2021,49071,1075,4,10020,4006,1,2507507,25,2
92358,2021,64664,1334,4,10020,4006,1,2504009,25,2
92359,2021,64664,1334,4,10020,4006,1,2504009,25,2
92360,2021,64664,1334,4,10020,4006,1,2504009,25,2
92361,2021,64664,1334,4,10020,4006,1,2504009,25,2
92362,2021,64664,1334,4,10020,4006,1,2504009,25,2
92363,2021,64664,1334,4,10020,4006,1,2504009,25,2
92364,2021,64664,1334,4,10020,4006,1,2504009,25,2
92365,2021,64664,1334,4,10020,4006,1,2504009,25,2
92366,2021,64664,1334,4,10020,4006,1,2504009,25,2
92367,2021,64664,1334,4,10020,4006,1,2504009,25,2
92368,2021,64664,1334,4,10020,4006,1,2504009,25,2
92369,2021,64664,1334,4,10020,4006,1,2504009,25,2
92370,2021,64664,1334,4,10020,4006,1,2504009,25,2
92371,2021,64664,1334,4,10020,4006,1,2504009,25,2
92372,2021,64664,1334,4,10020,4006,1,2504009,25,2
92373,2021,64664,1334,4,10020,4006,1,2504009,25,2
92374,2021,64664,1334,4,10020,4006,1,2504009,25,2
92375,2021,64664,1334,4,10020,4006,1,2504009,25,2
92376,2021,64664,1334,4,10020,4006,1,2504009,25,2
92377,2021,64664,1334,4,10020,4006,1,2504009,25,2
92378,2021,64664,1334,4,10020,4006,1,2504009,25,2
92379,2021,64664,1334,4,10020,4006,1,2504009,25,2
92380,2021,64664,1334,4,10020,4006,1,2504009,25,2
92381,2021,64664,1334,4,10020,4006,1,2504009,25,2
92382,2021,64664,1334,4,10020,4006,1,2504009,25,2
92383,2021,64664,1334,4,10020,4006,1,2504009,25,2
92384,2021,64664,1334,4,10020,4006,1,2504009,25,2
92385,2021,64664,1334,4,10020,4006,1,2504009,25,2
92386,2021,64664,1334,4,10020,4006,1,2504009,25,2
92387,2021,64664,1334,4,10020,4006,1,2504009,25,2
92388,2021,64664,1334,4,10020,4006,1,2504009,25,2
92389,2021,64664,1334,4,10020,4006,1,2504009,25,2
92390,2021,64664,1334,4,10020,4006,1,2504009,25,2
92391,2021,64664,1334,4,10020,4006,1,2504009,25,2
92392,2021,64664,1334,4,10020,4006,1,2504009,25,2
92393,2021,64664,1334,4,10020,4006,1,2504009,25,2
92394,2021,64664,1334,4,10020,4006,1,2504009,25,2
92395,2021,64664,1334,4,10020,4006,1,2504009,25,2
92396,2021,64664,1334,4,10020,4006,1,2504009,25,2
92397,2021,64664,1334,4,10020,4006,1,2504009,25,2
92398,2021,64664,1334,4,10020,4006,1,2504009,25,2
92399,2021,64664,1334,4,10020,4006,1,2504009,25,2
92400,2021,64664,1334,4,10020,4006,1,2504009,25,2
92401,2021,64664,1334,4,10020,4006,1,2504009,25,2
92402,2021,64664,1334,4,10020,4006,1,2504009,25,2
92403,2021,64664,1334,4,10020,4006,1,2504009,25,2
92404,2021,64664,1334,4,10020,4006,1,2504009,25,2
92405,2021,64664,1334,4,10020,4006,1,2504009,25,2
92406,2021,64664,1334,4,10020,4006,1,2504009,25,2
92407,2021,64664,1334,4,10020,4006,1,2504009,25,2
92408,2021,64664,1334,4,10020,4006,1,2504009,25,2
92409,2021,64664,1334,4,10020,4006,1,2504009,25,2
92410,2021,64664,1334,4,10020,4006,1,2504009,25,2
92411,2021,64664,1334,4,10020,4006,1,2504009,25,2
243737,2021,107360,579,1,10028,4006,1,2512903,25,2
243738,2021,107360,579,1,10028,4006,1,2512903,25,2
243739,2021,107360,579,1,10028,4006,1,2512903,25,2
243740,2021,107360,579,1,10028,4006,1,2512903,25,2
243741,2021,107360,579,1,10028,4006,1,2512903,25,2
243742,2021,107360,579,1,10028,4006,1,2512903,25,2
243743,2021,107360,579,1,10028,4006,1,2512903,25,2
243744,2021,107360,579,1,10028,4006,1,2512903,25,2
243745,2021,107360,579,1,10028,4006,1,2512903,25,2
243746,2021,107360,579,1,10028,4006,1,2512903,25,2
243747,2021,107360,579,1,10028,4006,1,2512903,25,2
243748,2021,107360,579,1,10028,4006,1,2512903,25,2
243749,2021,107360,579,1,10028,4006,1,2512903,25,2
243750,2021,107360,579,1,10028,4006,1,2512903,25,2
243751,2021,107360,579,1,10028,4006,1,2512903,25,2
243752,2021,107360,579,1,10028,4006,1,2512903,25,2
243753,2021,107360,579,1,10028,4006,1,2512903,25,2
243754,2021,107360,579,1,10028,4006,1,2512903,25,2
243755,2021,107360,579,1,10028,4006,1,2512903,25,2
243756,2021,107360,579,1,10028,4006,1,2512903,25,2
243757,2021,107360,579,1,10028,4006,1,2512903,25,2
243758,2021,107360,579,1,10028,4006,1,2512903,25,2
243759,2021,107360,579,1,10028,4006,1,2512903,25,2
243760,2021,107360,579,1,10028,4006,1,2512903,25,2
243761,2021,107360,579,1,10028,4006,1,2512903,25,2
243762,2021,107360,579,1,10028,4006,1,2512903,25,2
243763,2021,107360,579,1,10028,4006,1,2512903,25,2
243764,2021,107360,579,1,10028,4006,1,2512903,25,2
243765,2021,107360,579,1,10028,4006,1,2512903,25,2
243766,2021,107360,579,1,10028,4006,1,2512903,25,2
243767,2021,107360,579,1,10028,4006,1,2512903,25,2
243768,2021,107360,579,1,10028,4006,1,2512903,25,2
243769,2021,107360,579,1,10028,4006,1,2512903,25,2
243770,2021,107360,579,1,10028,4006,1,2512903,25,2
243771,2021,107360,579,1,10028,4006,1,2512903,25,2
243772,2021,107360,579,1,10028,4006,1,2512903,25,2
243773,2021,107360,579,1,10028,4006,1,2512903,25,2
243774,2021,107360,579,1,10028,4006,1,2512903,25,2
243775,2021,107360,579,1,10028,4006,1,2512903,25,2
243776,2021,107360,579,1,10028,4006,1,2512903,25,2
243777,2021,107360,579,1,10028,4006,1,2512903,25,2
243778,2021,107360,579,1,10028,4006,1,2512903,25,2
243779,2021,107360,579,1,10028,4006,1,2512903,25,2
243780,2021,107360,579,1,10028,4006,1,2512903,25,2
243781,2021,107360,579,1,10028,4006,1,2512903,25,2
243782,2021,107360,579,1,10028,4006,1,2512903,25,2
243783,2021,107360,579,1,10028,4006,1,2512903,25,2
243784,2021,107360,579,1,10028,4006,1,2512903,25,2
243785,2021,107360,579,1,10028,4006,1,2512903,25,2
243786,2021,107360,579,1,10028,4006,1,2512903,25,2
243787,2021,107360,579,1,10028,4006,1,2512903,25,2
243788,2021,107360,579,1,10028,4006,1,2512903,25,2
243789,2021,107360,579,1,10028,4006,1,2512903,25,2
