,Unnamed: 0,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente,numero_questao,texto_questao,imagem_questão,assunto,objeto_de_conhecimento,area,perfil,competencia,objeto_de_conhecimento_numero
0,0,Questão 1,C,533.0,0.2498827941865916,Geral,1,,,Saida do Reino unido da UE,Globalização e política internacional,,3,4,3
1,1,Questão 2,C,1123.0,0.5264885138302859,Geral,2,,,Agricultura familiar,"Vida urbana e vida rural; Relações de trabalho; Ciência, tecnologia e sociedade",,2,10,5;10;11
2,2,Questão 3,B,813.0,0.3811533052039381,Geral,3,,,Tarifação de energia eletrica,Meio ambiente; Responsabilidade social,,3,4,6;8
3,3,Questão 4,B,1286.0,0.602906704172527,Geral,4,,,Interpretação de texto,"Tecnologias de Informação e Comunicação; Ciência, tecnologia e sociedade",,2,6,11;13
4,4,Questão 5,C,1307.0,0.612751992498828,Geral,5,,,Recurso de sustentabilidade,Inovação tecnológica; meio ambiente,,4,7,6;12
5,5,Questão 6,E,1796.0,0.8420065635255509,Geral,6,,,xenofobia; racismo,Processos migratórios; Relações de trabalho,,4,8,4;10
6,6,Questão 7,A,772.0,0.3619315518049695,Geral,7,,,Produção artesanal local,"Responsabilidade social; Ética, democracia e cidadania; sociodiversidade e multiculturalismo",,5,9,2
7,7,Questão 8,D,988.0,0.4631973745897796,Geral,8,,,Desenvolvimento sustentável,"Ética, democracia e cidadania; sociodiversidade e multiculturalismo",,5,7,1;8;9
8,8,Questão 9,X,,,Específico,9,,,Engenharia de Requisitos,Engenharia de Software,Engenharia de Software,1,3,13
9,9,Questão 10,X,,,Específico,10,,,,,,3,11,15
10,10,Questão 11,A,502.0,0.2353492733239568,Específico,11,,,,,,1,3,19
11,11,Questão 12,C,1089.0,0.510548523206751,Específico,12,,,"Gestão de pessoas; Virtualização de servidores, ",Informática e Sociedade,Gestão,2,3,22
12,12,Questão 13,E,890.0,0.4172526957337084,Específico,13,,,Tecnologias aplicadas ao processo de negocio,Arquitetura empresarial e da tecnologia da informação,Gestão,3,3,8
13,13,Questão 14,Z,,,Específico,14,,,,,,4,1,6
14,14,Questão 15,A,982.0,0.4603844350679794,Específico,15,,,Modelo da Abordagem Sistémica da Instrução - ASI; Inter-relação de varias areas da tecnologia para o uso do modelo ASI,Arquitetura da informação,Gestão,4,2,7
15,15,Questão 16,D,1569.0,0.7355836849507735,Específico,16,,,Processo de design de interação; Processo de design de um software; Prototipação,Interação Humano-Computador,Engenharia de Software,4,3,17
16,16,Questão 17,B,1577.0,0.7393342709798406,Específico,17,,,Controle de Risco; Diminuição de defeitos no produto (Bugs); Tecnicas e recursos de validação de qualidade,Qualidade de Processo e Produto,Engenharia de Software,4,7,16
17,17,Questão 18,B,792.0,0.3713080168776371,Específico,18,,,Parametrização; Customização,Arquitetura empresarial e da tecnologia da informação,,4,4,8
18,18,Questão 19,B,961.0,0.4505391467416784,Específico,19,,,Grafos,Pesquisa Operacional,Desenvolvimento de Sistemas,5,1,5
19,19,Questão 20,E,871.0,0.4083450539146742,Específico,20,,,Tabela verdade,Lógica Matemática e Matemática Discreta,Fundamentos de computação,5,4,1
20,20,Questão 21,B,701.0,0.3286451007969995,Específico,21,,,Diagrama de atividades,Modelagem de Sistemas de Informação,Engenharia de Software,5,5,14
21,21,Questão 22,D,897.0,0.420534458509142,Específico,22,,,Arquitetura Cliente-servidor,Sistemas Operacionais; Redes de Computadores; Sistemas Distribuídos,Desenvolvimento de Sistemas,5,10,12
22,22,Questão 23,D,978.0,0.4585091420534458,Específico,23,,,Consultas SQL; Modelo de dados relacional , Banco de Dados,Banco de dados,5,12,19
23,23,Questão 24,B,531.0,0.2489451476793249,Específico,24,,,Media; Mediana; Moda; Desvio Patrão,Probabilidade e Estatística,Matemática e Estatística,8,13,2
24,24,Questão 25,X,,,Específico,25,,,,,,6,6,21
25,25,Questão 26,E,1078.0,0.5053914674167839,Específico,26,,,Operadores e Expressões,"Fundamentos, Paradigmas e Linguagens de Programação",Fundamentos de computação,6,4,4
26,26,Questão 27,A,1113.0,0.5218002812939522,Específico,27,,,hardware e software skills dos integrantes de um projeto de software,Gestão do Conhecimento,Engenharia de Software,6,13,20
27,27,Questão 28,E,822.0,0.3853727144866385,Específico,28,,,Levantamento de Requisitos; Gerenciamento de Projetos,Gerência de Projetos,Engenharia de Software,7,11,15
28,28,Questão 29,X,,,Específico,29,,,,,,5,3,21
29,29,Questão 30,C,1186.0,0.556024378809189,Específico,30,,,Atividades de Validação e Verificação , Engenharia de Software; Qualidade de Processo e Produto,Engenharia de Software,6,5,13;16
30,30,Questão 31,B,1034.0,0.4847632442569151,Específico,31,,,Computação em nuvem; Computação em Grid,Redes de Computadores; Sistemas Distribuído,Desenvolvimento de Sistemas,8,8,12
31,31,Questão 32,D,628.0,0.2944210032817628,Específico,32,,,Lei e regulamentação de recursos tecnologicos ,Governança de Tecnologia da Informação e Comunicação,Gestão,8,6,9
32,32,Questão 33,C,1794.0,0.8410689170182841,Específico,33,,,Segurança da informação, Segurança e Auditoria de Sistemas,Gestão,8,9,18
33,33,Questão 34,C,963.0,0.4514767932489451,Específico,34,,,Clusters,Arquitetura e Organização de Computadores,Desenvolvimento de Sistemas,8,10,10
34,34,Questão 35,C,1175.0,0.5508673230192217,Específico,35,,,Tipos de estrutura de dados,Algoritmos e Estruturas de Dados,Fundamentos de computação,5,4,3
