,Unnamed: 0,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente,numero_questao,texto_questao,imagem_questão,assunto,objeto_de_conhecimento,area,perfil,competencia,objeto_de_conhecimento_numero
0,0,Questão 1,C,27.0,0.221311475409836,Geral,1,,,Saida do Reino unido da UE,Globalização e política internacional,,3,4,3
1,1,Questão 2,C,64.0,0.5245901639344263,Geral,2,,,Agricultura familiar,"Vida urbana e vida rural; Relações de trabalho; Ciência, tecnologia e sociedade",,2,10,5;10;11
2,2,Questão 3,B,41.0,0.3360655737704918,Geral,3,,,Tarifação de energia eletrica,Meio ambiente; Responsabilidade social,,3,4,6;8
3,3,Questão 4,B,76.0,0.6229508196721312,Geral,4,,,Interpretação de texto,"Tecnologias de Informação e Comunicação; Ciência, tecnologia e sociedade",,2,6,11;13
4,4,Questão 5,C,81.0,0.6639344262295082,Geral,5,,,Recurso de sustentabilidade,Inovação tecnológica; meio ambiente,,4,7,6;12
5,5,Questão 6,E,108.0,0.8852459016393442,Geral,6,,,xenofobia; racismo,Processos migratórios; Relações de trabalho,,4,8,4;10
6,6,Questão 7,A,46.0,0.3770491803278688,Geral,7,,,Produção artesanal local,"Responsabilidade social; Ética, democracia e cidadania; sociodiversidade e multiculturalismo",,5,9,2
7,7,Questão 8,D,50.0,0.4098360655737705,Geral,8,,,Desenvolvimento sustentável,"Ética, democracia e cidadania; sociodiversidade e multiculturalismo",,5,7,1;8;9
8,8,Questão 9,X,,,Específico,9,,,Engenharia de Requisitos,Engenharia de Software,Engenharia de Software,1,3,13
9,9,Questão 10,X,,,Específico,10,,,,,,3,11,15
10,10,Questão 11,A,32.0,0.2622950819672131,Específico,11,,,,,,1,3,19
11,11,Questão 12,C,51.0,0.4180327868852459,Específico,12,,,"Gestão de pessoas; Virtualização de servidores, ",Informática e Sociedade,Gestão,2,3,22
12,12,Questão 13,E,49.0,0.4016393442622951,Específico,13,,,Tecnologias aplicadas ao processo de negocio,Arquitetura empresarial e da tecnologia da informação,Gestão,3,3,8
13,13,Questão 14,Z,,,Específico,14,,,,,,4,1,6
14,14,Questão 15,A,60.0,0.4918032786885246,Específico,15,,,Modelo da Abordagem Sistémica da Instrução - ASI; Inter-relação de varias areas da tecnologia para o uso do modelo ASI,Arquitetura da informação,Gestão,4,2,7
15,15,Questão 16,D,91.0,0.7459016393442623,Específico,16,,,Processo de design de interação; Processo de design de um software; Prototipação,Interação Humano-Computador,Engenharia de Software,4,3,17
16,16,Questão 17,B,96.0,0.7868852459016393,Específico,17,,,Controle de Risco; Diminuição de defeitos no produto (Bugs); Tecnicas e recursos de validação de qualidade,Qualidade de Processo e Produto,Engenharia de Software,4,7,16
17,17,Questão 18,B,42.0,0.3442622950819672,Específico,18,,,Parametrização; Customização,Arquitetura empresarial e da tecnologia da informação,,4,4,8
18,18,Questão 19,B,64.0,0.5245901639344263,Específico,19,,,Grafos,Pesquisa Operacional,Desenvolvimento de Sistemas,5,1,5
19,19,Questão 20,E,55.0,0.4508196721311475,Específico,20,,,Tabela verdade,Lógica Matemática e Matemática Discreta,Fundamentos de computação,5,4,1
20,20,Questão 21,B,46.0,0.3770491803278688,Específico,21,,,Diagrama de atividades,Modelagem de Sistemas de Informação,Engenharia de Software,5,5,14
21,21,Questão 22,D,48.0,0.3934426229508196,Específico,22,,,Arquitetura Cliente-servidor,Sistemas Operacionais; Redes de Computadores; Sistemas Distribuídos,Desenvolvimento de Sistemas,5,10,12
22,22,Questão 23,D,68.0,0.5573770491803278,Específico,23,,,Consultas SQL; Modelo de dados relacional , Banco de Dados,Banco de dados,5,12,19
23,23,Questão 24,B,28.0,0.2295081967213114,Específico,24,,,Media; Mediana; Moda; Desvio Patrão,Probabilidade e Estatística,Matemática e Estatística,8,13,2
24,24,Questão 25,X,,,Específico,25,,,,,,6,6,21
25,25,Questão 26,E,64.0,0.5245901639344263,Específico,26,,,Operadores e Expressões,"Fundamentos, Paradigmas e Linguagens de Programação",Fundamentos de computação,6,4,4
26,26,Questão 27,A,67.0,0.5491803278688525,Específico,27,,,hardware e software skills dos integrantes de um projeto de software,Gestão do Conhecimento,Engenharia de Software,6,13,20
27,27,Questão 28,E,40.0,0.3278688524590163,Específico,28,,,Levantamento de Requisitos; Gerenciamento de Projetos,Gerência de Projetos,Engenharia de Software,7,11,15
28,28,Questão 29,X,,,Específico,29,,,,,,5,3,21
29,29,Questão 30,C,73.0,0.5983606557377049,Específico,30,,,Atividades de Validação e Verificação , Engenharia de Software; Qualidade de Processo e Produto,Engenharia de Software,6,5,13;16
30,30,Questão 31,B,60.0,0.4918032786885246,Específico,31,,,Computação em nuvem; Computação em Grid,Redes de Computadores; Sistemas Distribuído,Desenvolvimento de Sistemas,8,8,12
31,31,Questão 32,D,26.0,0.2131147540983606,Específico,32,,,Lei e regulamentação de recursos tecnologicos ,Governança de Tecnologia da Informação e Comunicação,Gestão,8,6,9
32,32,Questão 33,C,106.0,0.8688524590163934,Específico,33,,,Segurança da informação, Segurança e Auditoria de Sistemas,Gestão,8,9,18
33,33,Questão 34,C,63.0,0.5163934426229508,Específico,34,,,Clusters,Arquitetura e Organização de Computadores,Desenvolvimento de Sistemas,8,10,10
34,34,Questão 35,C,67.0,0.5491803278688525,Específico,35,,,Tipos de estrutura de dados,Algoritmos e Estruturas de Dados,Fundamentos de computação,5,4,3
