,NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
89,2021,1119382,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""A.......""","""00000000""","""...........................""","""900000009900900000900000800""",555,555,555,555,333,333,336,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""A""",""".""",""".""",""".""",""".""",""".""",""".""",""".""","""."""
93,2021,53520,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""........""","""00000000""","""...........................""","""900000009900900000900000800""",555,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
146,2021,114616,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""",""".AA.....""","""00000000""","""..A........................""","""900000009900900000900000800""",555,555,555,555,555,555,335,335,336,335,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
261,2021,74586,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BAAAADDE""","""00001000""","""ACEAEBEC...................""","""900000009900900000900000800""",555,555,555,333,555,555,333,333,555,555,333,1.9,7.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
277,2021,88380,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BCECEBEC""","""01000000""","""...........................""","""900000009900900000900000800""",555,555,555,333,333,555,333,333,333,555,555,1.9,7.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
347,2021,88068,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""C......C""","""00000000""","""..BC..B...BCDDCB....B......""","""900000009900900100900000800""",555,555,555,555,555,333,555,333,333,333,333,3.4,1.4,0,3.5,7,35,0,0,0,0,4.1,4.8,0,0,0,0,"""A""",""".""",""".""",""".""","""A""",""".""",""".""","""A""","""."""
376,2021,94762,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CCEBCDDB""","""01010000""","""EABAEDBBECECDBAACBDCEBBABEB""","""900000009900900000900000800""",555,555,555,333,555,333,333,333,333,333,333,3.8,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,"""C""","""C""","""C""","""C""","""C""","""B""","""A""","""B""","""B"""
420,2021,1116224,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""........""","""00000000""","""...........................""","""900000009900900000900000800""",555,555,333,555,333,333,555,555,333,333,333,4.5,18,0,45,32,40,30,58,50,60,0,0,0,0,0,0,,,,,,,,,
421,2021,108660,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EACCCAAB""","""10000100""","""BCDABBCCCCBCADCDBDCDCBCACAB""","""900000009900900000900000800""",555,555,555,555,555,555,555,555,555,333,336,4.5,17.8,25,7,7,35,0,7,35,0,0,0,0,0,0,0,"""C""","""A""","""C""","""B""","""B""","""B""","""E""","""C""","""C"""
449,2021,1161716,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EAEACEDD""","""10000001""","""DBDABBADCBBCBAAACCACBCBECAB""","""900000009900900000900000800""",555,555,555,555,555,333,555,555,333,333,333,4.7,18.6,25,9,10,50,0,8,40,0,0,0,0,0,0,0,"""D""","""D""","""C""","""C""","""C""","""C""","""B""","""B""","""B"""
609,2021,1286732,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EABB....""","""10110000""","""...........................""","""900000009900900000900000800""",555,555,555,333,333,333,333,333,333,333,333,5.6,22.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
628,2021,1119382,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CDBDEAAA""","""00100100""","""CBADBABCCBDACDACBDACEBDAEBA""","""900000009900900000900000800""",555,555,555,333,555,555,333,333,555,333,333,5.8,15,25,0,0,0,0,0,0,0,2.7,0,18.3,55,0,0,"""C""","""C""","""A""","""B""","""C""","""C""","""D""","""C""","""B"""
680,2021,37303,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BBACECEE""","""00000000""","""DDBECBABECDBBEEADBDBABEBCAC""","""900000009901910000900000800""",555,555,555,333,555,333,333,333,333,333,333,6.1,0,0,0,0,0,0,0,0,0,8.1,9.5,0,0,0,0,"""D""","""D""","""B""","""D""","""D""","""D""","""D""","""B""","""C"""
694,2021,60464,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CACADDAE""","""00000000""","""EA*BEBEDEEBADEACBDDECBEDCEE""","""900100009900910000900000800""",555,555,555,333,555,333,333,333,333,333,333,6.1,0,0,0,0,0,0,0,0,0,8.1,9.5,0,0,0,0,,,,,,,,,
695,2021,69853,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BEACBDEA""","""00000000""","""BCDEABCDEDCBABCDAABBCCDDEED""","""900000009901900000900000801""",555,555,555,333,555,333,333,333,333,333,333,6.1,0,0,0,0,0,0,0,0,0,8.1,9.5,0,0,0,0,"""E""","""A""","""A""","""B""","""B""","""C""","""B""","""B""","""B"""
697,2021,109476,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""AEAEBDAC""","""00000000""","""ABADAAEEADEEAEEAAABEABEEDCD""","""900000009900910000900000801""",555,555,555,333,555,555,333,333,333,555,555,6.1,0,0,0,0,0,0,0,0,0,8.1,9.5,0,0,0,0,"""D""","""C""","""B""","""D""","""B""","""A""","""D""","""C""","""B"""
737,2021,83294,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CABACDEC""","""00100000""","""EDDAEDACBDBACDAEDECBBCBAABE""","""900000009900900001900000800""",555,555,555,555,555,555,555,555,555,555,555,6.4,9.5,12.5,5,5,25,0,5,25,0,5.3,4.8,8.3,25,0,0,"""E""","""D""","""C""","""D""","""A""","""D""","""A""","""A""","""C"""
827,2021,20756,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EBCAEBDB""","""10000000""","""ABDCCBEBADDACBEEACBAEDEBCCB""","""900000009900900000910000800""",555,555,555,555,555,555,555,555,555,555,333,6.7,14.5,12.5,17.5,10,50,0,25,65,15,4.1,4.8,0,0,0,0,"""C""","""D""","""A""","""D""","""B""","""B""","""B""","""B""","""C"""
892,2021,80073,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CBBDDCDB""","""00100000""","""ADBACADCCBDAADCABCBBCDDADCE""","""900000109900900000900000800""",555,555,555,555,555,555,555,555,555,555,555,7,15.7,12.5,20.5,7,35,0,34,50,30,4.1,4.8,0,0,0,0,"""D""","""D""","""C""","""C""","""B""","""B""","""B""","""D""","""D"""
1087,2021,1376181,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BADBDCED""","""00010001""","""DDEAEBCBABBDCAABCAACCBEBBCC""","""900000009900900100900000800""",555,555,555,555,555,555,555,555,555,333,333,7.5,17.8,25,7,7,35,0,7,35,0,4.1,4.8,0,0,0,0,"""C""","""C""","""C""","""B""","""B""","""B""","""B""","""C""","""C"""
1098,2021,56726,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EAEACBD.""","""10000000""","""ACEDABCBDCEDBCEDCBCAAD*BDAC""","""900000009900900000910000800""",555,555,555,555,555,555,555,555,555,555,555,7.5,14.5,12.5,17.5,10,50,0,25,65,15,5.1,4.8,6.7,0,20,0,"""D""","""E""","""E""","""B""","""C""","""B""","""A""","""B""","""B"""
1161,2021,1119382,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BDCACDEB""","""00000000""","""EBDACBAECDBDCEDBBCDBCCBDAEC""","""900000009900910100900000800""",555,555,555,555,555,555,555,555,555,555,555,7.8,4,0,10,5,25,0,15,35,10,9.1,9.5,6.7,0,20,0,"""A""","""A""","""B""","""D""","""D""","""C""","""B""","""A""","""A"""
