,NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
255,2017,21464,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""........""","""00000000""","""...........................""","""990008000000000090009000000""",555,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1862,2017,46487,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BECBCEEE""","""00011100""","""EADDDBBCCAAADEEADDCAABECDCB""","""990008000000000090009000010""",555,555,555,555,555,555,555,555,555,333,333,10.4,25.7,37.5,8,10,50,0,6,30,0,5.3,4.5,10,30,0,0,"""C""","""C""","""C""","""A""","""A""","""A""","""B""","""A""","""B"""
1911,2017,40343,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BDADEADC""","""00000000""","""BDEEDCBECAEECCCACACCAAADDBE""","""990008000001000090009001000""",555,555,555,555,555,555,555,555,555,555,333,10.5,18.8,0,47,25,25,25,69,45,75,7.7,9.1,0,0,0,0,"""C""","""C""","""C""","""B""","""A""","""B""","""E""","""D""","""B"""
2027,2017,1103723,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCBCCBCC""","""01101000""","""BBEEDDEECCDDCCCCCCCCCDCAAAB""","""990008000000000090009000000""",555,555,555,555,555,555,555,555,555,333,555,10.6,42.3,37.5,49.5,42,50,40,57,85,50,0,0,0,0,0,0,"""C""","""D""","""C""","""D""","""A""","""A""","""B""","""D""","""B"""
2570,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCDAEDCD""","""01000001""","""ECEBBDABEDCBABBDDDBDADDBBAE""","""990008100000000090009000000""",555,555,555,555,555,555,555,333,333,333,555,11.8,29,25,35,70,30,80,0,0,0,6.1,4.5,15,0,0,45,"""C""","""E""","""B""","""A""","""C""","""C""","""A""","""B""","""C"""
2738,2017,47051,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCAABCCC""","""01000000""","""DDBAEDDECCCCDAAAEDDAAACCDDD""","""990018000000000090009000000""",555,555,555,555,555,333,555,555,333,333,333,12.1,37.1,12.5,74,76,60,80,72,60,75,3.8,4.5,0,0,0,0,"""C""","""C""","""C""","""C""","""C""","""C""","""D""","""C""","""D"""
2927,2017,49054,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BDCEEAEE""","""00000000""","""BEDCABCBAEBBACDAACBADBDACDA""","""990108000010001090009000100""",555,555,555,333,555,555,333,333,555,333,336,12.4,0,0,0,0,0,0,0,0,0,16.5,18.2,6.7,20,0,0,"""B""","""C""","""C""","""A""","""C""","""A""","""C""","""B""","""C"""
3384,2017,40343,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DDABDEDB""","""00010100""","""DBCACDEBACCCCEBCAACABDCACEB""","""990008000000000090009000100""",555,555,555,555,555,555,555,555,555,333,333,13,40.4,25,63.5,60,40,65,67,35,75,3.8,4.5,0,0,0,0,"""D""","""C""","""A""","""C""","""C""","""B""","""B""","""D""","""C"""
3925,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DBCCBDAE""","""00000010""","""ADBCCBDAEBDCCDBEADBDCDEDADB""","""990108000100010090009001000""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""B""","""C""","""A""","""D""","""D""","""D""","""D""","""D""","""A"""
3926,2017,107409,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BBEAECBD""","""00000001""","""DEEDBBBCBCDDDDBECACAEADACEC""","""990008001000010090009000101""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""C""","""C""","""A""","""A""","""A""","""C""","""E""","""D""","""A"""
3929,2017,108660,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""ABCDEEDC""","""00000100""","""BABCDCBABCDEDCBAABCDEDCBABC""","""990108001001000090009000001""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""D""","""C""","""B""","""A""","""A""","""B""","""C""","""D""","""E"""
4081,2017,47069,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DBEABECB""","""00000100""","""CBCCBECEDAEADEEEDACBDBBBDDD""","""990108000000000090009010000""",555,555,555,555,555,333,555,555,333,333,333,13.7,31.7,12.5,60.5,50,70,45,71,55,75,7.7,9.1,0,0,0,0,"""C""","""C""","""B""","""B""","""B""","""B""","""D""","""C""","""C"""
4167,2017,53331,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCADEDCB""","""01000000""","""AEEEABCDEDEDCBABAABABCDEDCA""","""990008010000000190009100010""",555,555,555,555,555,555,336,555,555,555,555,13.8,8.5,12.5,2.5,0,50,0,5,25,0,15.5,18.2,0,0,0,0,"""C""","""D""","""A""","""E""","""E""","""C""","""C""","""A""","""E"""
4649,2017,108660,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCCECCAD""","""01001011""","""CBDBADBEDAACDBCEACEABEACCBE""","""990008000000000090009000100""",555,555,555,555,555,333,555,555,333,333,333,14.2,45.4,50,38.5,43,55,40,34,70,25,3.8,4.5,0,0,0,0,"""C""","""D""","""A""","""A""","""C""","""C""","""D""","""B""","""D"""
4717,2017,49054,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""CCDEEAAA""","""11000010""","""CCDBBBEEEDBDDDBBCACCCADAEEE""","""990008000010010190009000000""",555,555,555,333,555,333,333,333,333,333,333,14.3,22.5,37.5,0,0,0,0,0,0,0,11.6,13.6,0,0,0,0,"""C""","""C""","""C""","""B""","""B""","""C""","""E""","""B""","""C"""
4947,2017,10515,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DACDBEBC""","""00000100""","""DAEECDABCDABBBCDCDAAABDBDED""","""990008100000100090109000000""",555,555,555,555,555,333,555,555,333,333,333,14.5,23.3,12.5,39.5,38,30,40,41,25,45,11.6,13.6,0,0,0,0,"""C""","""D""","""A""","""C""","""C""","""C""","""D""","""C""","""D"""
5329,2017,107409,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DCDCEABB""","""01000000""","""EDDCDBBADBABAECDCCDEABEBDDB""","""990108000100000090019000000""",555,555,555,555,555,555,555,555,555,333,333,14.8,24.5,12.5,42.5,34,50,30,51,55,50,11.6,13.6,0,0,0,0,"""C""","""D""","""C""","""B""","""C""","""D""","""E""","""C""","""C"""
5606,2017,108660,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BBEEDCED""","""00000001""","""EDECCDABCAEDDEBCDDECCEACDDC""","""990108100000000090009000001""",555,555,555,555,555,333,555,555,333,333,333,15,25.1,12.5,44,55,75,50,33,65,25,11.6,13.6,0,0,0,0,"""C""","""C""","""A""","""C""","""B""","""D""","""B""","""D""","""E"""
5783,2017,55402,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DDCBDEBD""","""00010101""","""CEBCADDBADCBDCCDBBEDBBCCDCE""","""990108000000000090009000010""",555,555,555,555,555,333,555,555,333,333,333,15.2,37.7,37.5,38,49,45,50,27,55,20,7.7,9.1,0,0,0,0,"""C""","""C""","""C""","""B""","""B""","""C""","""B""","""D""","""C"""
6053,2017,21464,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DCCDCBCC""","""01001000""","""DDCDBBBDCBEBEABACCAEADECBDB""","""990008010100000090119000000""",555,555,555,333,555,333,333,333,333,333,333,15.4,15,25,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""C""","""C""","""C""","""A""","""A""","""C""","""A""","""A""","""A"""
