,NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
349,2017,60886,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""........""","""00000000""","""...........................""","""990008000000000090009000000""",555,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
530,2017,115582,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""........""","""00000000""","""...........................""","""990008000000000090009000000""",555,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""B""","""B""","""C""","""B""","""B""","""B""","""D""","""E""","""B"""
672,2017,1191221,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""........""","""00000000""","""...........................""","""990008000000000090009000000""",555,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
690,2017,5000578,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""........""","""00000000""","""...........................""","""990008000000000090009000000""",555,333,333,333,333,333,333,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1455,2017,21600,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""ECDABBDC""","""01000000""","""AECDABDAEDADCEBBEBACDEDBAAB""","""990008000000000190109000000""",555,555,555,555,555,555,555,555,555,555,555,9.2,13.7,12.5,15.5,26,30,25,5,25,0,7.7,9.1,0,0,0,0,"""E""","""E""","""A""","""E""","""E""","""E""","""A""","""A""","""E"""
1989,2017,20065,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""C.A.....""","""10000000""","""...C....B.CE.B.............""","""990108001001000090009000000""",555,555,555,333,555,333,333,333,333,333,333,10.6,7.5,12.5,0,0,0,0,0,0,0,11.6,13.6,0,0,0,0,,,,,,,,,
2095,2017,120385,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DEDCCCCD""","""00001001""","""BADDCBBBCCEAADDCCBDBDDDBBBD""","""990008000000011090009000000""",555,555,555,555,555,333,555,555,333,333,333,10.8,20,25,12.5,11,55,0,14,70,0,7.7,9.1,0,0,0,0,"""C""","""C""","""A""","""E""","""E""","""A""","""D""","""D""","""B"""
2570,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BCDAEDCD""","""01000001""","""ECEBBDABEDCBABBDDDBDADDBBAE""","""990008100000000090009000000""",555,555,555,555,555,555,555,333,333,333,555,11.8,29,25,35,70,30,80,0,0,0,6.1,4.5,15,0,0,45,"""C""","""E""","""B""","""A""","""C""","""C""","""A""","""B""","""C"""
3033,2017,1122221,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BBBDCCCC""","""00101000""","""EBEACCACBECDAEBACCCBBBBBAAA""","""990008101000000090009010000""",555,555,555,333,555,333,333,333,333,333,333,12.5,15,25,0,0,0,0,0,0,0,11.6,13.6,0,0,0,0,"""A""","""A""","""E""","""A""","""B""","""C""","""A""","""B""","""C"""
3869,2017,18384,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""BABABBBE""","""00100000""","""DBBDCDADDDCEABCDABDCCEADEDE""","""990008110001000090009001000""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""D""","""D""","""C""","""D""","""C""","""C""","""D""","""D""","""D"""
3925,2017,107360,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""DBCCBDAE""","""00000010""","""ADBCCBDAEBDCCDBEADBDCDEDADB""","""990108000100010090009001000""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""B""","""C""","""A""","""D""","""D""","""D""","""D""","""D""","""A"""
3929,2017,108660,8,0,0,0,27,1,4,0,"""CCBBCEAD""","""XXACEZADBBBEBDDBXEAEXCBDCCC""","""ABCDEEDC""","""00000100""","""BABCDCBABCDEDCBAABCDEDCBABC""","""990108001001000090009000001""",555,555,555,333,555,333,333,333,333,333,333,13.5,7.5,12.5,0,0,0,0,0,0,0,15.5,18.2,0,0,0,0,"""D""","""C""","""B""","""A""","""A""","""B""","""C""","""D""","""E"""
