,NU_ANO,CO_CURSO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9
9759,2021,49071,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BDEACAAC""","""00000100""","""BDACADDBDBBDCBBACDEABEDEDCA""","""900000109900901000910100800""",555,555,555,555,555,555,555,555,555,555,555,14.5,9.5,12.5,5,5,25,0,5,25,0,16.2,19,0,0,0,0,"""D""","""C""","""B""","""B""","""B""","""C""","""A""","""B""","""B"""
22863,2021,64664,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CAAACDCB""","""00000010""","""DDECEEEBEEBCBCCBEABABCADCCB""","""900000009900900110910010800""",555,555,555,555,555,555,555,555,555,555,555,18.1,15.7,12.5,20.5,11,55,0,30,50,25,18.9,19,18.3,35,20,0,"""D""","""D""","""C""","""B""","""B""","""B""","""B""","""D""","""C"""
36150,2021,49071,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BAEACDDA""","""00000000""","""DCBCDBDBADBBDECBBDAABBDBDEA""","""900010109901910100910000800""",555,555,555,333,555,555,333,333,555,555,333,20.5,0,0,0,0,0,0,0,0,0,27.3,28.6,20,50,10,0,"""C""","""D""","""C""","""B""","""C""","""C""","""C""","""C""","""B"""
36154,2021,64664,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EBBACACB""","""10100110""","""AACABBBBEAABCBAAAAAAAABBBBB""","""901000009911900000910000800""",555,555,555,555,555,333,333,555,333,333,333,20.5,33.4,50,8.5,0,0,0,17,25,15,16.2,19,0,0,0,0,"""B""","""C""","""A""","""A""","""A""","""C""","""A""","""D""","""B"""
38676,2021,49071,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BABDECDB""","""00100000""","""AEDACCCACECDCCBCBDDCCDBCDCC""","""910001019900901000900001800""",555,555,555,555,555,555,555,555,555,555,555,20.9,16.9,12.5,23.5,14,70,0,33,65,25,22.2,23.8,13.3,40,0,0,"""C""","""C""","""C""","""A""","""A""","""C""","""A""","""A""","""D"""
44519,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CABBEAAE""","""00110100""","""DCDBCEDABCDECBAEABDECBBCDEA""","""900100119900900000900001800""",555,555,555,555,555,555,555,555,555,555,555,21.8,32.7,37.5,25.5,7,35,0,44,40,45,18.1,19,13.3,10,30,0,"""C""","""C""","""C""","""A""","""A""","""C""","""E""","""C""","""B"""
46828,2021,64664,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BCBACBEC""","""01100000""","""BDCABDAEBDBDDABAACBADBAEACB""","""901000009900901000911010800""",555,555,555,555,555,555,555,555,555,555,555,22.1,25.2,25,25.5,26,70,15,25,25,25,21,23.8,5,15,0,0,"""C""","""C""","""C""","""A""","""A""","""B""","""D""","""D""","""B"""
55340,2021,64664,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""BABBCCDB""","""00110000""","""ECADDDEEDCACEBCDEABBEBAABCD""","""900010009910900010900010801""",555,555,555,555,555,555,555,555,555,555,333,23.2,23.6,25,21.5,13,65,0,30,50,25,23,23.8,18.3,55,0,0,"""D""","""C""","""D""","""C""","""B""","""C""","""B""","""B""","""C"""
74673,2021,49071,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""CCBACADC""","""01100100""","""EABDEBDCCABAAEBDEECCEABBACD""","""900000109900911011900000801""",555,555,555,555,555,555,335,555,555,333,333,25.6,29.3,37.5,17,0,50,0,34,50,30,24.3,28.6,0,0,0,0,"""C""","""D""","""B""","""B""","""B""","""C""","""B""","""B""","""C"""
75195,2021,107360,8,0,0,0,27,1,5,0,"""ECBBAACD""","""XECBDCDAXXABXEBBEEXADEACZDD""","""EEABACCC""","""10011010""","""CABABCDCEBBACABDCEBCDAABACA""","""900001109900901001901010800""",555,555,555,333,555,333,333,333,333,333,333,25.7,30,50,0,0,0,0,0,0,0,24.3,28.6,0,0,0,0,"""C""","""C""","""A""","""B""","""A""","""B""","""D""","""D""","""D"""
