,Questões,Respostas certas,Numeros de acertos,Porcetagem
0,Questão 1,C,1,5.88
1,Questão 2,C,8,47.06
2,Questão 3,B,4,23.53
3,Questão 4,B,8,47.06
4,Questão 5,C,7,41.18
5,Questão 6,E,14,82.35
6,Questão 7,A,5,29.41
7,Questão 8,D,8,47.06
8,Questão 9,X,153,900.00
9,Questão 10,X,153,900.00
10,Questão 11,A,3,17.65
11,Questão 12,C,5,29.41
12,Questão 13,E,3,17.65
13,Questão 14,Z,136,800.00
14,Questão 15,A,7,41.18
15,Questão 16,D,9,52.94
16,Questão 17,B,15,88.24
17,Questão 18,B,5,29.41
18,Questão 19,B,8,47.06
19,Questão 20,E,9,52.94
20,Questão 21,B,2,11.76
21,Questão 22,D,7,41.18
22,Questão 23,D,6,35.29
23,Questão 24,B,4,23.53
24,Questão 25,X,153,900.00
25,Questão 26,E,8,47.06
26,Questão 27,A,10,58.82
27,Questão 28,E,4,23.53
28,Questão 29,X,153,900.00
29,Questão 30,C,7,41.18
30,Questão 31,B,8,47.06
31,Questão 32,D,6,35.29
32,Questão 33,C,14,82.35
33,Questão 34,C,8,47.06
34,Questão 35,C,4,23.53
