,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,E,22.0,0.4782608695652174,Geral
1,Questão 2,C,10.0,0.21739130434782608,Geral
2,Questão 3,B,30.0,0.6521739130434783,Geral
3,Questão 4,B,16.0,0.34782608695652173,Geral
4,Questão 5,A,18.0,0.391304347826087,Geral
5,Questão 6,A,28.0,0.6086956521739131,Geral
6,Questão 7,C,32.0,0.6956521739130435,Geral
7,Questão 8,D,11.0,0.2391304347826087,Geral
8,Questão 9,X,,,Específico
9,Questão 10,E,20.0,0.43478260869565216,Específico
10,Questão 11,C,19.0,0.41304347826086957,Específico
11,Questão 12,B,14.0,0.30434782608695654,Específico
12,Questão 13,D,29.0,0.6304347826086957,Específico
13,Questão 14,C,32.0,0.6956521739130435,Específico
14,Questão 15,D,34.0,0.7391304347826086,Específico
15,Questão 16,A,13.0,0.2826086956521739,Específico
16,Questão 17,X,,,Específico
17,Questão 18,X,,,Específico
18,Questão 19,A,26.0,0.5652173913043478,Específico
19,Questão 20,B,16.0,0.34782608695652173,Específico
20,Questão 21,X,,,Específico
21,Questão 22,E,12.0,0.2608695652173913,Específico
22,Questão 23,B,39.0,0.8478260869565217,Específico
23,Questão 24,B,10.0,0.21739130434782608,Específico
24,Questão 25,E,29.0,0.6304347826086957,Específico
25,Questão 26,E,26.0,0.5652173913043478,Específico
26,Questão 27,X,,,Específico
27,Questão 28,A,28.0,0.6086956521739131,Específico
28,Questão 29,D,19.0,0.41304347826086957,Específico
29,Questão 30,E,5.0,0.10869565217391304,Específico
30,Questão 31,A,11.0,0.2391304347826087,Específico
31,Questão 32,C,14.0,0.30434782608695654,Específico
32,Questão 33,Z,,,Específico
33,Questão 34,D,17.0,0.3695652173913043,Específico
34,Questão 35,D,11.0,0.2391304347826087,Específico
