,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,C,1.0,0.058823529411764705,Geral
1,Questão 2,C,8.0,0.47058823529411764,Geral
2,Questão 3,B,4.0,0.23529411764705882,Geral
3,Questão 4,B,8.0,0.47058823529411764,Geral
4,Questão 5,C,7.0,0.4117647058823529,Geral
5,Questão 6,E,14.0,0.8235294117647058,Geral
6,Questão 7,A,5.0,0.29411764705882354,Geral
7,Questão 8,D,8.0,0.47058823529411764,Geral
8,Questão 9,X,,,Específico
9,Questão 10,X,,,Específico
10,Questão 11,A,3.0,0.17647058823529413,Específico
11,Questão 12,C,5.0,0.29411764705882354,Específico
12,Questão 13,E,3.0,0.17647058823529413,Específico
13,Questão 14,Z,,,Específico
14,Questão 15,A,7.0,0.4117647058823529,Específico
15,Questão 16,D,9.0,0.5294117647058824,Específico
16,Questão 17,B,15.0,0.8823529411764706,Específico
17,Questão 18,B,5.0,0.29411764705882354,Específico
18,Questão 19,B,8.0,0.47058823529411764,Específico
19,Questão 20,E,9.0,0.5294117647058824,Específico
20,Questão 21,B,2.0,0.11764705882352941,Específico
21,Questão 22,D,7.0,0.4117647058823529,Específico
22,Questão 23,D,6.0,0.35294117647058826,Específico
23,Questão 24,B,4.0,0.23529411764705882,Específico
24,Questão 25,X,,,Específico
25,Questão 26,E,8.0,0.47058823529411764,Específico
26,Questão 27,A,10.0,0.5882352941176471,Específico
27,Questão 28,E,4.0,0.23529411764705882,Específico
28,Questão 29,X,,,Específico
29,Questão 30,C,7.0,0.4117647058823529,Específico
30,Questão 31,B,8.0,0.47058823529411764,Específico
31,Questão 32,D,6.0,0.35294117647058826,Específico
32,Questão 33,C,14.0,0.8235294117647058,Específico
33,Questão 34,C,8.0,0.47058823529411764,Específico
34,Questão 35,C,4.0,0.23529411764705882,Específico
