,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,C,27.0,0.22131147540983606,Geral
1,Questão 2,C,64.0,0.5245901639344263,Geral
2,Questão 3,B,41.0,0.3360655737704918,Geral
3,Questão 4,B,76.0,0.6229508196721312,Geral
4,Questão 5,C,81.0,0.6639344262295082,Geral
5,Questão 6,E,108.0,0.8852459016393442,Geral
6,Questão 7,A,46.0,0.3770491803278688,Geral
7,Questão 8,D,50.0,0.4098360655737705,Geral
8,Questão 9,X,,,Específico
9,Questão 10,X,,,Específico
10,Questão 11,A,32.0,0.26229508196721313,Específico
11,Questão 12,C,51.0,0.4180327868852459,Específico
12,Questão 13,E,49.0,0.4016393442622951,Específico
13,Questão 14,Z,,,Específico
14,Questão 15,A,60.0,0.4918032786885246,Específico
15,Questão 16,D,91.0,0.7459016393442623,Específico
16,Questão 17,B,96.0,0.7868852459016393,Específico
17,Questão 18,B,42.0,0.3442622950819672,Específico
18,Questão 19,B,64.0,0.5245901639344263,Específico
19,Questão 20,E,55.0,0.45081967213114754,Específico
20,Questão 21,B,46.0,0.3770491803278688,Específico
21,Questão 22,D,48.0,0.39344262295081966,Específico
22,Questão 23,D,68.0,0.5573770491803278,Específico
23,Questão 24,B,28.0,0.22950819672131148,Específico
24,Questão 25,X,,,Específico
25,Questão 26,E,64.0,0.5245901639344263,Específico
26,Questão 27,A,67.0,0.5491803278688525,Específico
27,Questão 28,E,40.0,0.32786885245901637,Específico
28,Questão 29,X,,,Específico
29,Questão 30,C,73.0,0.5983606557377049,Específico
30,Questão 31,B,60.0,0.4918032786885246,Específico
31,Questão 32,D,26.0,0.21311475409836064,Específico
32,Questão 33,C,106.0,0.8688524590163934,Específico
33,Questão 34,C,63.0,0.5163934426229508,Específico
34,Questão 35,C,67.0,0.5491803278688525,Específico
