,Questões,Respostas certas,Numeros de acertos,Porcetagem,Componente
0,Questão 1,E,1116.0,0.46989473684210525,Geral
1,Questão 2,C,677.0,0.2850526315789474,Geral
2,Questão 3,B,1445.0,0.608421052631579,Geral
3,Questão 4,B,984.0,0.4143157894736842,Geral
4,Questão 5,A,1357.0,0.5713684210526315,Geral
5,Questão 6,A,1500.0,0.631578947368421,Geral
6,Questão 7,C,1610.0,0.6778947368421052,Geral
7,Questão 8,D,499.0,0.21010526315789474,Geral
8,Questão 9,X,,,Específico
9,Questão 10,E,1102.0,0.464,Específico
10,Questão 11,C,1250.0,0.5263157894736842,Específico
11,Questão 12,B,671.0,0.2825263157894737,Específico
12,Questão 13,D,1059.0,0.4458947368421053,Específico
13,Questão 14,C,1487.0,0.6261052631578947,Específico
14,Questão 15,D,1535.0,0.6463157894736842,Específico
15,Questão 16,A,586.0,0.24673684210526317,Específico
16,Questão 17,X,,,Específico
17,Questão 18,X,,,Específico
18,Questão 19,A,1335.0,0.5621052631578948,Específico
19,Questão 20,B,1125.0,0.47368421052631576,Específico
20,Questão 21,X,,,Específico
21,Questão 22,E,985.0,0.4147368421052632,Específico
22,Questão 23,B,2072.0,0.872421052631579,Específico
23,Questão 24,B,725.0,0.30526315789473685,Específico
24,Questão 25,E,1479.0,0.6227368421052631,Específico
25,Questão 26,E,1389.0,0.5848421052631579,Específico
26,Questão 27,X,,,Específico
27,Questão 28,A,1416.0,0.5962105263157895,Específico
28,Questão 29,D,1106.0,0.4656842105263158,Específico
29,Questão 30,E,484.0,0.20378947368421052,Específico
30,Questão 31,A,616.0,0.2593684210526316,Específico
31,Questão 32,C,911.0,0.3835789473684211,Específico
32,Questão 33,Z,,,Específico
33,Questão 34,D,964.0,0.40589473684210525,Específico
34,Questão 35,D,913.0,0.38442105263157894,Específico
